# Cluster list (1874 data points):
# "Cluster Identifier" "Cluster Size" "Radius of Gyration" "Gyration Tensor.XX" "Gyration Tensor.YY" "Gyration Tensor.ZZ" "Gyration Tensor.XY" "Gyration Tensor.XZ" "Gyration Tensor.YZ"
100 5 0.9017323736 0.2724124184 0.3065622416 0.2341466136 0.0394261432 -0.0901874772 -0.1310833536 
101 5 1.1222578424 0.3907456464 0.6412253321 0.2274916864 -0.4228177252 -0.1910081816 0.2751611427 
102 5 0.9920031962 0.6448758416 0.2664659852 0.0727285144 0.2950529813 -0.1621535732 -0.0338157264 
103 5 1.0525178452 0.5058651376 0.2581073803 0.3438212966 0.0424041226 0.2791301258 0.1112738616 
104 5 0.9180266175 0.4173870824 0.1254113304 0.2999744576 0.0525093256 0.0756342408 0.0975059972 
105 5 1.0922715937 0.627104544 0.1806489624 0.385303728 -0.161895404 0.477999776 -0.169642588 
106 5 1.1312783142 0.1133082397 0.2947487182 0.8717336664 -0.0891265944 0.086244523 0.3558287719 
107 5 1.0770907216 0.3956063936 0.5541275569 0.210390472 0.4478871451 -0.028399874 -0.0160162418 
108 5 1.0070619956 0.4233489384 0.3853555342 0.2054693904 -0.0730893544 0.1869170904 0.1283106058 
109 5 1.0194899917 0.0592919224 0.2076470384 0.7724208824 -0.0548701304 0.1113357204 -0.2262886744 
110 5 1.1923664128 1.1015136664 0.1468600865 0.1733639096 0.1368292459 -0.3411817748 -0.0416363524 
111 5 1.1771934009 0.6178519584 0.2951930664 0.4727392784 0.2642805256 -0.4328205224 -0.2999959576 
112 5 1.1135876468 0.1668793264 1.0542693856 0.018928735 -0.3698707368 0.0284141808 -0.0646907012 
113 5 1.157170992 0.3112611104 0.8917314824 0.136052112 0.1429202378 0.029612673 0.312068064 
114 5 1.1342657086 0.1933148273 0.949190636 0.1440532344 -0.1829771152 -0.1040288818 0.21811558 
115 5 1.1042546716 0.7732189376 0.1784671224 0.2676923198 0.2916113292 -0.1637913724 -0.1393418674 
116 5 1.1151649507 0.5406482033 0.3733163736 0.3296282904 -0.1824209075 -0.1218623971 0.2590791272 
117 5 1.0190031713 0.2042774104 0.6286740344 0.2054160184 0.1616255364 -0.0982346616 -0.0685933036 
118 5 0.9764405853 0.4213174496 0.4618190816 0.0702996855 0.3704877284 -0.0103143754 0.0644460422 
119 5 0.9640447563 0.1830485176 0.5470009401 0.1993328344 0.041871391 -0.0610130872 0.1006082667 
120 5 1.1198069201 0.6527273464 0.3659369576 0.2353032344 0.3069496288 -0.0849880084 -0.1811290468 
121 5 1.0561259925 0.0535973 0.5119998544 0.5498049576 -0.149457494 0.128829952 -0.2107290208 
122 5 0.9947615323 0.4018428944 0.4747211384 0.1129864733 0.3674482976 0.1439229337 0.0425818595 
123 5 1.14572924 0.3915313936 0.1083210074 0.8128430904 -0.0465484835 -0.2513924668 -0.2278241206 
124 5 0.9269706108 0.3253438784 0.1198630264 0.4140676084 0.1106351936 -0.3172813778 -0.1602799438 
125 5 0.938503106 0.139171184 0.613207716 0.12840918 0.089370774 0.009709956 0.069594206 
126 5 1.0278803549 0.2871950264 0.347659128 0.4216838696 -0.124098454 -0.1237467608 -0.129442276 
127 5 1.0640863181 0.3914020704 0.432906032 0.3079715899 0.264070692 0.0498347518 0.1495879906 
128 5 1.0344866435 0.2742329205 0.6253917896 0.1705379056 -0.1893780708 -0.2005748076 0.1012141484 
129 5 1.3522057996 0.3056403045 1.13484722 0.387973 -0.5496805414 0.2728559018 -0.53320007 
130 5 0.9619307239 0.4306173656 0.0445158464 0.4501775056 0.0027211372 0.0939995256 -0.0526444828 
131 5 0.9705822281 0.2946214696 0.3595483169 0.287860075 -0.3003641746 -0.0911334791 0.1380727563 
132 5 0.9577081823 0.1350879344 0.2304035384 0.5517134896 0.0583033156 0.0371207812 -0.0397274772 
133 5 0.8068461261 0.2233775224 0.3406605864 0.0869625624 -0.0124232916 0.0675552284 -0.0973895776 
134 5 0.7349318891 0.1065469096 0.1910917904 0.2424861816 0.0299581092 -0.0886732396 -0.1007790092 
135 5 1.2393441491 0.1609494776 0.1170487344 1.257975708 0.0442229168 -0.010059306 -0.249277318 
136 4 1.0235794496 0.372054615 0.3092699396 0.366390335 0.2586362563 -0.3329072425 -0.2149507223 
137 4 1.1761741849 0.1687554069 0.9849124713 0.229717835 -0.2767635539 -0.140915525 0.473908532 
138 4 1.1802059642 0.2082227525 0.733788335 0.4508750305 0.3409968725 0.3057680065 0.5147043492 
139 4 0.8490427543 0.1953707019 0.1323119092 0.3931909875 -0.0193698331 0.1706672086 0.1591140336 
